time,reto
0.1218404769897461,Reto 1
0.11863493919372559,Reto 2
0.12723445892333984,Reto 3
0.13259148597717285,Reto 4
0.11659669876098633,Reto 5
0.12968158721923828,Reto 6
0.1324901580810547,Reto 7
0.12626147270202637,Reto 8
0.13100075721740723,Reto 9
0.12352323532104492,Reto 10
0.11691737174987793,Reto 11
0.11704206466674805,Reto 12
0.12835097312927246,Reto 13
0.12189984321594238,Reto 14
0.11842870712280273,Reto 15
0.12885546684265137,Reto 16
0.11596250534057617,Reto 17
0.12052035331726074,Reto 18
0.11333465576171875,Reto 19
0.12452292442321777,Reto 20
0.12023472785949707,Reto 21
0.12624573707580566,Reto 22
0.12216067314147949,Reto 23
0.12578535079956055,Reto 24
0.12177848815917969,Reto 25
0.12687087059020996,Reto 26
0.11710643768310547,Reto 27
0.11507821083068848,Reto 28
0.1359400749206543,Reto 29
0.12860465049743652,Reto 30
0.11749935150146484,Reto 31
0.1183326244354248,Reto 32
0.12083101272583008,Reto 33
0.1245582103729248,Reto 34
0.11461901664733887,Reto 35
0.12208819389343262,Reto 36
0.12334322929382324,Reto 37
0.11857128143310547,Reto 38
0.1265242099761963,Reto 39
0.12041687965393066,Reto 40
0.12201452255249023,Reto 41
0.12287473678588867,Reto 42
0.12062597274780273,Reto 43
0.12514019012451172,Reto 44
0.11367940902709961,Reto 45
0.12385892868041992,Reto 46
0.12960410118103027,Reto 47
0.12311220169067383,Reto 48
0.12492752075195312,Reto 49
0.12536931037902832,Reto 50
0.1093440055847168,Reto 51
0.11487245559692383,Reto 52
0.11027646064758301,Reto 53
0.11927652359008789,Reto 54
0.12200164794921875,Reto 55
0.12288141250610352,Reto 56
0.1135551929473877,Reto 57
0.1348576545715332,Reto 58
0.14619660377502441,Reto 59
0.11378717422485352,Reto 60
0.12249135971069336,Reto 61
0.12728452682495117,Reto 62
0.12255597114562988,Reto 63
0.12024807929992676,Reto 64
0.11986970901489258,Reto 65
0.11203122138977051,Reto 66
0.10878229141235352,Reto 67
0.11190414428710938,Reto 68
0.13750553131103516,Reto 69
0.12796950340270996,Reto 70
0.12595748901367188,Reto 71
0.1219949722290039,Reto 72
0.14128351211547852,Reto 73
0.16780400276184082,Reto 74
0.13471317291259766,Reto 75
0.13330078125,Reto 76
0.13339018821716309,Reto 77
0.11472082138061523,Reto 78
0.1356642246246338,Reto 79
0.13609814643859863,Reto 80
